segment_id,street,direction,length,observed_speed,predicted_speed,travel_time_minutes,estimated_co2,distance_score,time_score,emission_score,distance_focused_score,balanced_score,sustainability_focused_score
65,Pulaski,SB,0.5,25.0,25.0,1.2,104.6,0.3506,0.0976,0.3177,0.2714,0.2537,0.255
194,North,EB,0.72,25.0,25.9,1.67,150.6,0.6364,0.1725,0.5764,0.4912,0.4589,0.4612
195,North,EB,0.78,29.0,28.0,1.67,163.2,0.7143,0.1735,0.6471,0.5453,0.5083,0.5117
201,North,WB,0.5,28.0,27.7,1.08,104.6,0.3506,0.0794,0.3177,0.266,0.2476,0.2495
202,North,WB,0.5,32.0,25.1,1.2,104.6,0.3506,0.0973,0.3177,0.2713,0.2536,0.2548
203,North,WB,0.51,26.0,23.3,1.31,106.7,0.3636,0.1156,0.3294,0.2858,0.268,0.2687
204,North,WB,0.49,27.0,23.6,1.24,102.5,0.3377,0.1049,0.3059,0.2647,0.248,0.2488
205,North,WB,0.5,20.0,22.4,1.34,104.6,0.3506,0.1205,0.3177,0.2783,0.2615,0.2618
206,North,WB,0.51,23.0,21.3,1.44,106.7,0.3636,0.1361,0.3294,0.2919,0.275,0.2748
207,North,WB,0.49,19.0,21.3,1.38,102.5,0.3377,0.1262,0.3059,0.271,0.2553,0.2551
208,North,WB,0.5,14.0,18.8,1.59,104.6,0.3506,0.1605,0.3177,0.2903,0.2751,0.2738
210,North,WB,0.28,19.0,20.6,0.82,58.6,0.0649,0.0367,0.0588,0.0559,0.0533,0.0528
66,Pulaski,SB,0.5,22.0,24.5,1.22,104.6,0.3506,0.1016,0.3177,0.2726,0.2551,0.2561
67,Pulaski,SB,1.0,19.0,25.0,2.4,209.2,1.0,0.2892,0.9059,0.7774,0.7273,0.7303
72,Pulaski,SB,0.62,25.0,22.5,1.65,129.7,0.5065,0.1703,0.4588,0.4009,0.3764,0.377
73,Pulaski,SB,0.38,29.0,24.2,0.94,79.5,0.1948,0.0571,0.1765,0.1516,0.1419,0.1425
74,Pulaski,SB,0.5,35.0,27.6,1.09,104.6,0.3506,0.0796,0.3177,0.266,0.2476,0.2496
75,Pulaski,SB,0.53,30.0,27.9,1.14,110.9,0.3896,0.0885,0.3529,0.2956,0.2751,0.2773
76,Pulaski,SB,0.95,27.0,27.1,2.1,198.8,0.9351,0.242,0.847,0.7183,0.6704,0.6743
77,Pulaski,SB,0.5,23.0,26.2,1.14,104.6,0.3506,0.0889,0.3177,0.2688,0.2508,0.2523
78,Pulaski,SB,0.5,24.0,26.5,1.13,104.6,0.3506,0.0869,0.3177,0.2682,0.2501,0.2517
79,Pulaski,SB,0.5,23.0,23.9,1.26,104.6,0.3506,0.1067,0.3177,0.2742,0.2568,0.2577
80,Pulaski,SB,0.5,30.0,27.1,1.11,104.6,0.3506,0.0832,0.3177,0.2671,0.2488,0.2506
81,Pulaski,SB,0.62,22.0,24.3,1.53,129.7,0.5065,0.1503,0.4588,0.3949,0.3696,0.371
